# source<tab>target<tab>MatchFromBegining
am trying to	want to	false
are not working	do not work	false
as far as		false
as of		false
aside from		false
ask another question		false
ask another questions		false
ask question about		false
ask question for		false
ask questions about		false
ask questions for		false
asked another question		false
asked another questions		false
asked question about		false
asked question for		false
asked questions about		false
asked questions for		false
asking another question		false
asking another questions		false
asking question about		false
asking question for		false
asking questions about		false
asking questions for		false
belonging to		false
big than	bigger than	false
by means of		false
calculate		true
can no longer	can not	false
can you		false
can you help		false
can you please		false
can you please help		false
can you please help me		false
can you please provide a list of		false
can you please tell me		false
can you give me		false
can you show me		false
can you tell me		false
can not log into	can not sign into	false
can not seem to	can not	false
could you		false
could you help		false
could you please help		false
could you please help me		false
could you please let me know		false
could you please tell me		false
can you give me		false
can you show me		false
could you tell me		false
can I		false
describe		true
oh		true
# did i		true
did not work	do not work	false
# did we		true
display		true
return		true
retrieve		true
present		true
provide	true
exhibit	true
display all	true
return all		true
retrieve all		true
present all		true
provide all	true
exhibit all	true
please display		false
please return		false
please retrieve		false
please present		false
please provide	false
please exhibit	false
display list of		false
return list of		false
retrieve list of		false
present list of		false
provide list of		false
exhibit list of		false
display a list of		false
return a list of		false
retrieve a list of		false
present a list of		false
provide a list of		false
exhibit a list of		false
display the list of		false
return the list of		false
retrieve the list of		false
present the list of		false
provide the list of		false
exhibit the list of		false
displaying		true
do not remember	forget	false
early than	earlier than	false
et cetera	etc	false
few than	fewer than	false
find		true
fresh than	fresher than	false
give an update		false
give an update with		false
give me		false
give me a list of		false
give me an update		false
give me an update with		false
give me information about		false
give me updates		false
give me updates with		false
give us		false
give update		false
give update with		false
give updates		false
give updates with		false
great than	greater than	false
has stopped working	do not work	false
have been locked out of	can not sign into	false
have been trying to	want to	false
# have i		true
have not been able	can not	false
have not been able to	can not	false
# have we		true
high than	higher than	false
# how are		true
how can i	how to	false
how do i	how to	false
# how is		true
# how was		true
# how were		true
how i can	how to	false
i am locked out of	can not sign into	false
i am not able to	can not	false
i am unable to	can not	false
i can not figure out how to	how to	false
i can not remember	i forget	false
i do not know how	how	false
i do not know how to	how to	false
i do not know what to do	how to	false
i do not know why	why	false
i have problem		false
i have trouble		false
i need help		false
i need to know how to	how to	false
i want to know how to	how to	false
i want		false
i want to		false
i want to get		false
i want to know		false
i want to see		false
i would like to		false
i would like to get		false
i would like to know		false
i would like to learn		false
i would like to see		false
i would like to understand		false
in order to	want to	false
in accordance with		false
in addition to		false
in spite of		false
info	information	false
infor	information	false
is it possible to	can i	false
is not working	do not work	false
is there a way i can	can i	false
is there a way to	can i	false
is there any way i can	can i	false
it will not allow me to	i can not	false
it will not let me	i can not	false
large than	larger than	false
late than	later than	false
let me know		false
let us know		false
like to	want to	false
list		true
list of		false
list out		true
listing		true
locked out of	can not sign into	false
look up		true
lookup		true
low than	lower than	false
may i have		false
may I have a list of		false
may I have list of		false
may I have the list of		false
need to be able to	want to	false
new than	newer than	false
not able to	can not	false
old than	older than	false
on behalf of		false
on top of		false
out of date	expired	false
please		false
please calculate		false
please show me		false
provide a list of		false
provide me		false
provide us		false
question		false
question about		false
question for		false
questions		false
questions about		false
questions for		false
related to	about	false
regardless of		false
search		true
searching		true
show		true
show a list of		false
show me		false
show me all		false
show me the list of		false
show us		false
showing		true
small than	smaller than	false
something went wrong	do not work	false
speak to	talk to	false
speak with	talk to	false
tabulate		true
tell me		false
tell me about		false
tell us		false
tell us about		false
thanku	thank you	false
thankyou	thank you	false
thank u	thank you	false
try to	want to	false
update me		false
update me with		false
view		true
we are unable to	can not	false
we have problem		false
we have trouble		false
we need help		false
we want		false
we want to		false
we want to get		false
we want to know		false
we want to see		false
we would like to		false
we would like to get		false
we would like to know		false
we would like to learn		false
we would like to see		false
we would like to understand		false
with regard to		false
what are		false
what can i do to	how to	false
what do i need to do to	how to	false
what is		false
# who are		false
# who is		false
will not allow me to	can not	false
will not let me	can not	false
will not work	do not work	false
will you please		false
would like to	want to	false
would you		false
young than	younger than	false
do we have		false
I can ask		false
