root	misc	adj-to-adv	adj-to-comparative	adj-to-noun	noun-to-plural	verb-to-gerund	verb-to-past-and-participle	verb-to-third-person
a	an							
aah						aahing	aahed	aahs
aalii					aaliis			
aardvark	aardvarks				aardvarks			
aardwolf					aardwolves			
aba					abas			
abaca					abacas			
abactinal		abactinally						
abacus	abaci,abacuses				abaci			
abalone	abalones				abalones			
abamp					abamps			
abampere					abamperes			
abandon	abandoned,abandoning,abandons				abandons	abandoning	abandoned	abandons
abandoned		abandonedly						
abandonment					abandonments			
abase	abased,abases,abasing					abasing	abased	abases
abasement					abasements			
abash						abashing	abashed	abashes
abashed		abashedly						
abashment					abashments			
abasia					abasias			
abate	abated,abating					abating	abated	
abatement					abatements			
abatis					abatises			
abator					abators			
abattis					abattises			
abattoir					abattoirs			
abbacy					abbacies			
abbe					abbes			
abbess	abbesses				abbesses			
abbey	abbeys				abbeys			
abbot	abbots				abbots			
abbreviate	abbreviated,abbreviates,abbreviating					abbreviating	abbreviated	abbreviates
abbreviation	abbreviations				abbreviations			
abbreviator					abbreviators			
abdicate	abdicated,abdicates,abdicating					abdicating	abdicated	abdicates
abdication	abdications				abdications			
abdomen	abdomens				abdomens			
abdominal		abdominally			abdominals			
abduce						abducing	abduced	abduces
abduct	abducted,abducting,abducts					abducting	abducted	abducts
abduction	abductions				abductions			
abductor	abductors				abductors			
abecedarian					abecedarians			
abele					abeles			
abelmosk					abelmosks			
abend	abends							
aberrancy					aberrancies			
aberrant		aberrantly		aberrance	aberrants			
aberrate						aberrating	aberrated	
aberration	aberrations				aberrations			
abet	abets,abetted,abetting					abetting	abetted	abets
abetment					abetments			
abettal					abettals			
abetter					abetters			
abettor					abettors			
abeyance					abeyances			
abeyant				abeyance				
abfarad					abfarads			
abhenry					abhenries,abhenrys			
abhor	abhorred,abhorring,abhors					abhorring	abhorred	abhors
abhorrence					abhorrences			
abhorrent		abhorrently		abhorrence				
abhorrer					abhorrers			
abidance					abidances			
abide	abided,abides,abiding,abode					abiding	abode	abides
abiding		abidingly						
abient				abience				
ability	abilities				abilities			
abiogenesis					abiogeneses			
abiogenetic		abiogenetically						
abject		abjectly						
abjection					abjections			
abjuration					abjurations			
abjure	abjured,abjures,abjuring					abjuring	abjured	abjures
abjurer					abjurers			
ablactate						ablactating	ablactated	
ablate						ablating	ablated	ablates
ablation					ablations			
ablative	ablatives	ablatively			ablatives			
ablaut					ablauts			
able		ably	abler,ablest					
ablution					ablutions			
abnegate						abnegating	abnegated	abnegates
abnegation					abnegations			
abnegator					abnegators			
abnormal		abnormally		abnormality				
abnormalcy					abnormalcies			
abnormality	abnormalities				abnormalities			
abode	abodes				abodes			
abohm					abohms			
aboideau					aboideaux			
aboiteau					aboiteaux			
abolish	abolished,abolishes,abolishing					abolishing	abolished	abolishes
abolishment					abolishments			
abolitionist	abolitionists				abolitionists			
abominable		abominably						
abominate	abominated,abominates,abominating					abominating	abominated	abominates
abomination	abominations				abominations			
abominator					abominators			
aboral		aborally						
aboriginal	aboriginals	aboriginally		aboriginality	aboriginals			
aborigine	aborigines				aborigines			
abort	aborted,aborting,aborts				aborts	aborting	aborted	aborts
abortion	abortions				abortions			
abortionist	abortionists				abortionists			
abortive		abortively						
abortus					abortuses			
aboulia					aboulias			
abound	abounded,abounding,abounds					abounding	abounded	abounds
abounding		aboundingly						
above					aboves			
abrachia					abrachias			
abradant					abradants			
abrade	abraded,abrades,abrading					abrading	abraded	abrades
abrader					abraders			
abrase						abrasing	abrased	
abrasion	abrasions				abrasions			
abrasive	abrasives	abrasively			abrasives			
abrazo	abrazos							
abreact						abreacting	abreacted	abreacts
abreaction					abreactions			
abridge	abridged,abridges,abridging					abridging	abridged	abridges
abridged		abridgedly						
abridgement					abridgements			
abridger					abridgers			
abridgment					abridgments			
abrogate	abrogated,abrogates,abrogating					abrogating	abrogated	abrogates
abrogation					abrogations			
abrogator					abrogators			
abrupt		abruptly	abrupter,abruptest					
abscess	abscesses				abscesses			
abscise						abscising	abscised	abscises
abscissa	abscissae,abscissas				abscissae			
abscission					abscissions			
abscond	absconded,absconding,absconds					absconding	absconded	absconds
absconder					absconders			
abseil	abseiled,abseiling,abseils				abseils	abseiling	abseiled	abseils
absence	absences				absences			
absent	absented,absenting,absents	absently	absenter	absence		absenting	absented	absents
absentee	absentees				absentees			
absentminded		absentmindedly						
absinth					absinths			
absinthe	absinthes				absinthes			
absolute	absolutes	absolutely	absoluter,absolutest		absolutes			
absolution					absolutions			
absolutist					absolutists			
absolutistic		absolutistically						
absolve	absolved,absolves,absolving					absolving	absolved	absolves
absolver					absolvers			
absorb	absorbed,absorbing,absorbs					absorbing	absorbed	absorbs
absorbed		absorbedly						
absorbency	absorbencies				absorbencies			
absorbent					absorbents			
absorber					absorbers			
absorbing		absorbingly						
absorption					absorptions			
absorptive		absorptively		absorptivity				
abstain	abstained,abstaining,abstains					abstaining	abstained	abstains
abstainer	abstainers				abstainers			
abstemious		abstemiously						
abstention	abstentions				abstentions			
abstinent		abstinently		abstinence				
abstract	abstracted,abstracting,abstracts	abstractly	abstracter,abstractest		abstracts	abstracting	abstracted	abstracts
abstracted		abstractedly						
abstracter					abstracters			
abstraction	abstractions				abstractions			
abstractionist					abstractionists			
abstractive		abstractively						
abstractor					abstractors			
abstruse		abstrusely	abstruser,abstrusest	abstrusity				
abstruseness					abstrusenesses			
abstrusity					abstrusities			
absurd		absurdly	absurder,absurdest	absurdity	absurds			
absurdity	absurdities				absurdities			
abulia					abulias			
abundance					abundances			
abundant		abundantly		abundance				
abuse	abused,abuses,abusing				abuses	abusing	abused	abuses
abused		abusedly						
abuser					abusers			
abusive		abusively						
abut	abuts,abutted,abutting					abutting	abutted	abuts
abutilon					abutilons			
abutment					abutments			
abutter					abutters			
abvolt					abvolts			
abwatt					abwatts			
aby	abought,abye						abought,abye	abies,abys
abye								abyes
abysm					abysms			
abysmal		abysmally						
abyss	abysses				abysses			
abyssinian					abyssinians			
acacia	acacias				acacias			
academe					academes			
academia					academias			
academic	academics	academically			academics			
academician	academicians				academicians			
academy	academies				academies			
acanthion					acanthia			
acanthoma					acanthomas			
acanthosis					acanthoses			
acanthus	acanthi,acanthuses				acanthi			
acapnia					acapnias			
acarid					acarids			
acarine					acarines			
acarus					acari			
acaulescent				acaulescence				
accede	acceded,accedes,acceding					acceding	acceded	accedes
accelerate	accelerated,accelerates,accelerating					accelerating	accelerated	accelerates
accelerated		acceleratedly						
acceleration					accelerations			
accelerator	accelerators				accelerators			
accelerometer					accelerometers			
accent	accented,accenting,accents				accents	accenting	accented	accents
accentor					accentors			
accentual		accentually		accentuality				
accentuate	accentuated,accentuates,accentuating					accentuating	accentuated	accentuates
accept	accepted,accepting,accepts					accepting	accepted	accepts
acceptable		acceptably						
acceptance					acceptances			
acceptant				acceptance				
accepted		acceptedly						
accepting		acceptingly						
acceptor					acceptors			
access	accessed,accesses,accessing				accesses	accessing	accessed	accesses
accessary		accessarily		accessariness	accessaries			
accessible		accessibly						
accession	accessions				accessions	accessioning	accessioned	accessions
accessorize	accessorized,accessorizes,accessorizing							
accessory	accessories	accessorily		accessoriness	accessories			
acciaccatura					acciaccature			
accident	accidents				accidents			
accidental		accidentally		accidentality	accidentals			
accipiter	accipitres							
acclaim	acclaimed,acclaiming,acclaims				acclaims	acclaiming	acclaimed	acclaims
acclamation	acclamations				acclamations			
acclimate	acclimated,acclimates,acclimating					acclimating	acclimated	acclimates
acclimatise						acclimatising	acclimatised	
acclimatize	acclimatized,acclimatizes,acclimatizing					acclimatizing	acclimatized	acclimatizes
acclivity					acclivities			
accolade	accolades				accolades			
accommodate	accommodated,accommodates,accommodating					accommodating	accommodated	accommodates
accommodating		accommodatingly						
accommodation					accommodations			
accommodative		accommodatively						
accommodator					accommodators			
accompaniment	accompaniments				accompaniments			
accompanist	accompanists				accompanists			
accompany	accompanied,accompanies,accompanying					accompanying	accompanied	accompanies
accomplice	accomplices				accomplices			
accomplish	accomplished,accomplishes,accomplishing					accomplishing	accomplished	accomplishes
accomplishment	accomplishments				accomplishments			
accord	accorded,according,accords				accords	according	accorded	accords
accordance					accordances			
accordant		accordantly		accordance				
according		accordingly						
accordion	accordions				accordions			
accordionist					accordionists			
accost	accosted,accosting,accosts					accosting	accosted	accosts
accouchement					accouchements			
accoucheur					accoucheurs			
accoucheuse					accoucheuses			
account	accounted,accounts				accounts	accounting	accounted	accounts
accountable		accountably						
accountant	accountants				accountants			
accouter						accoutering	accoutered	accouters
accouterment					accouterments			
accoutre						accoutring	accoutred	accoutres
accoutrement					accoutrements			
accredit	accredited,accrediting,accredits					accrediting	accredited	accredits
accreditation					accreditations			
accrete						accreting	accreted	accretes
accretion	accretions				accretions			
accrual					accruals			
accrue	accrued,accrues,accruing					accruing	accrued	accrues
acculturate	acculturated,acculturates,acculturating					acculturating	acculturated	acculturates
accumulate	accumulated,accumulates,accumulating					accumulating	accumulated	accumulates
accumulation	accumulations				accumulations			
accumulative		accumulatively						
accumulator					accumulators			
accuracy					accuracies			
accurate		accurately						
accurse						accursing	accursed	
accursed		accursedly						
accusal					accusals			
accusation	accusations				accusations			
accusative		accusatively			accusatives			
accusatorial		accusatorially						
accuse	accused,accuses,accusing					accusing	accused	accuses
accuser	accusers				accusers			
accusing		accusingly						
accustom	accustomed,accustoming,accustoms					accustoming	accustomed	accustoms
accustomed		accustomedly						
ace	aced,aces,acing				aces	acing	aced	aces
acedia					acedias			
acer								
acerb		acerbly	acerber,acerbest	acerbity				
acerbate						acerbating	acerbated	acerbates
acerbic		acerbically						
acerbity					acerbities			
acerola					acerolas			
acervate		acervately						
acervulus					acervuli			
acetabulum	acetabula				acetabula			
acetal					acetals			
acetaminophen	acetaminophens							
acetate	acetates				acetates			
acetify						acetifying	acetified	acetifies
acetin					acetins			
acetone					acetones			
acetose				acetosity				
acetyl					acetyls			
acetylate						acetylating	acetylated	
acetylize						acetylizing	acetylized	
achaemenid					achaemenidae,achaemenides			
ache	ached,aches,aching				aches	aching	ached	aches
achene	achenia				achenes			
achieve	achieved,achieves,achieving					achieving	achieved	achieves
achievement	achievements				achievements			
achiever	achievers				achievers			
achillea					achilleas			
aching		achingly						
acholia					acholias			
achromatic		achromatically		achromaticity				
achromatise						achromatising	achromatised	
achromatize						achromatizing	achromatized	
achy			achier,achiest	achiness				
acicula	aciculae				aciculae			
acicular		acicularly		acicularity				
aciculum					acicula			
acid	acids	acidly	acider	acidity	acids			
acidemia					acidemias			
acidify	acidified,acidifies,acidifying					acidifying	acidified	acidifies
acidimetric		acidimetrically						
acidity					acidities			
acidosis					acidoses			
acidulate						acidulating	acidulated	acidulates
acidulous		acidulously						
acinus	acini				acini			
ackee	ackees				ackees			
acknowledge	acknowledged,acknowledges,acknowledging					acknowledging	acknowledged	acknowledges
acknowledged		acknowledgedly						
acknowledgement								
acknowledgment	acknowledgments				acknowledgments			
acme					acmes			
acne					acnes			
acolyte	acolytes				acolytes			
aconite					aconites			
aconitum					aconitums			
acorn	acorns				acorns			
acousma					acousmas			
acoustic								
acoustical								
acquaint	acquainted,acquainting,acquaints					acquainting	acquainted	acquaints
acquaintance	acquaintances				acquaintances			
acquaintanceship					acquaintanceships			
acquiesce	acquiesced,acquiesces,acquiescing					acquiescing	acquiesced	acquiesces
acquiescent		acquiescently		acquiescence				
acquire	acquired,acquires,acquiring					acquiring	acquired	acquires
acquirement					acquirements			
acquirer					acquirers			
acquisition	acquisitions				acquisitions			
acquisitive		acquisitively						
acquit	acquits,acquitted,acquitting					acquitting	acquitted	acquits
acquittal					acquittals			
acre	acres							
acreage	acreages				acreages			
acrid		acridly	acrider,acridest	acridity				
acridity					acridities			
acrimonious		acrimoniously						
acrimony					acrimonies			
acrobat	acrobats				acrobats			
acrobatic		acrobatically						
acrocarpus					acrocarpi			
acrodont					acrodonts			
acrogen					acrogens			
acrogenous		acrogenously						
acrolect	acrolects							
acrolein					acroleins			
acromegaly					acromegalies			
acromion					acromia			
acronym	acronyms				acronyms			
acronymic		acronymically						
acropetal		acropetally						
acrophony					acrophonies			
acropolis					acropolises			
acrosome					acrosomes			
acrostic	acrostics				acrostics			
acrylate					acrylates			
acrylic	acrylics				acrylics			
act	acted,acting,acts					acting	acted	acts
actin					actins			
actinal		actinally						
acting					actings			
actinia	actiniae,actinias				actiniae			
actinian					actinians			
actinic		actinically						
actinide					actinides			
actinism					actinisms			
actinium					actiniums			
actinoid					actinoids			
actinometer					actinometers			
actinon					actinons			
actinozoan					actinozoa			
action	actions				actions			actions
actionable		actionably						
activate	activated,activates,activating					activating	activated	activates
activation					activations			
activator					activators			
active		actively		activity	actives			
activism					activisms			
activist	activists				activists			
activity	activities				activities			
actor	actors				actors			
actress	actresses				actresses			
actual		actually		actuality				
actualise						actualising	actualised	
actuality	actualities				actualities			
actualize						actualizing	actualized	actualizes
actuarial		actuarially						
actuary	actuaries				actuaries			
actuate	actuated,actuates,actuating					actuating	actuated	actuates
actuator					actuators			
acuity					acuities			
aculeus	aculei				aculei			
acumen					acumens			
acuminate						acuminating	acuminated	
acute		acutely	acuter,acutest		acutes			
acyclic		acyclically						
acyl					acyls			
ad	ads				ads			
adage	adages				adages			
adagio	adagios				adagios			
adamance					adamances			
adamant		adamantly		adamance	adamants			
adapt	adapted,adapting,adapts					adapting	adapted	adapts
adaptable		adaptably						
adaptation	adaptations				adaptations			
adaptational		adaptationally						
adapter	adapters				adapters			
adaption	adaptions				adaptions			
adaptive		adaptively		adaptivity				
adaptor					adaptors			
adc	adcs							
add	added,adding,adds				adds	adding	added	adds
addax					addaxes			
addend					addends			
addendum	addenda				addenda			
adder	adders				adders			
addict	addicts				addicts	addicting	addicted	addicts
addiction	addictions				addictions			
addictive		addictively						
addition	additions				additions			
additional		additionally						
additive	additives	additively		additivity	additives			
addle						addling	addled	addles
address	addressed,addresses,addressing				addresses	addressing	addrest	addresses
addressee	addressees				addressees			
adduce	adduced,adduces,adducing					adducing	adduced	adduces
adducer					adducers			
adduct					adducts	adducting	adducted	adducts
adductor	adductors				adductors			
adenine					adenines			
adenitis					adenitises			
adenocarcinoma					adenocarcinomata			
adenoid					adenoids			
adenoidectomy					adenoidectomies			
adenoma					adenomata			
adenosis					adenoses			
adenovirus					adenoviruses			
adept	adepts	adeptly	adepter,adeptest		adepts			
adequacy					adequacies			
adequate		adequately						
adhere	adhered,adheres,adhering					adhering	adhered	adheres
adherence					adherences			
adherent	adherents	adherently		adherence	adherents			
adhesion					adhesions			
adhesive	adhesives	adhesively			adhesives			
adiabatic		adiabatically						
adient				adience				
adieu	adieus,adieux				adieux			
adipose				adiposity				
adiposis					adiposes			
adiposity					adiposities			
adit					adits			
adjacency					adjacencies			
adjacent		adjacently		adjacence				
adjectival		adjectivally						
adjective	adjectives	adjectively			adjectives			
adjoin	adjoined,adjoining,adjoins					adjoining	adjoined	adjoins
adjourn	adjourned,adjourning,adjourns					adjourning	adjourned	adjourns
adjournment					adjournments			
adjudge	adjudged,adjudges,adjudging					adjudging	adjudged	adjudges
adjudicate	adjudicated,adjudicates,adjudicating					adjudicating	adjudicated	adjudicates
adjudication					adjudications			
adjudicator	adjudicators				adjudicators			
adjunct	adjuncts	adjunctly			adjuncts			
adjunctive		adjunctively						
adjuration					adjurations			
adjure						adjuring	adjured	adjures
adjust	adjusted,adjusting,adjusts					adjusting	adjusted	adjusts
adjustable		adjustably						
adjuster	adjusters				adjusters			
adjustment	adjustments				adjustments			
adjustor					adjustors			
adjutant	adjutants				adjutants			
adjuvant					adjuvants			
adman	admen							
admeasure						admeasuring	admeasured	
administer	administered,administering,administers					administering	administered	administers
administrate						administrating	administrated	administrates
administration	administrations				administrations			
administrative		administratively						
administrator	administrators				administrators			
administratrix	administratrixes							
admirable		admirably						
admiral	admirals				admirals			
admiralty					admiralties			
admiration					admirations			
admire	admired,admires,admiring					admiring	admired	admires
admired		admiredly						
admirer	admirers				admirers			
admissible		admissibly						
admission	admissions				admissions			
admissive		admissively						
admit	admits,admitted,admitting					admitting	admitted	admits
admittance					admittances			
admix						admixing	admixed	
admixture	admixtures				admixtures			
admonish	admonished,admonishes,admonishing					admonishing	admonished	admonishes
admonishing		admonishingly						
admonishment					admonishments			
admonition	admonitions				admonitions			
admonitory		admonitorily						
adnoun					adnouns			
ado					ados			
adobe	adobes				adobes			
adobo					adobos			
adolesce						adolescing	adolesced	
adolescent	adolescents	adolescently		adolescence	adolescents			
adonis	adonises				adonises			
adopt	adopted,adopting,adopts					adopting	adopted	adopts
adopted		adoptedly						
adoptee					adoptees			
adopter					adopters			
adoption	adoptions				adoptions			
adoptive		adoptively						
adorable		adorably						
adore	adored,adores,adoring					adoring	adored	adores
adorer					adorers			
adoring		adoringly						
adorn	adorned,adorning,adorns					adorning	adorned	adorns
adornment	adornments				adornments			
adperson	adpeople							
adrenal		adrenally			adrenals			
adrenalectomy					adrenalectomies			
adroit		adroitly	adroiter,adroitest					
adscititious		adscititiously						
adsorb	adsorbed,adsorbing,adsorbs					adsorbing	adsorbed	adsorbs
adsorbate					adsorbates			
adsorbent					adsorbents			
adsorptive		adsorptively						
adulate						adulating	adulated	adulates
adulator					adulators			
adult	adults	adultly	adulter		adults			
adulterant					adulterants			
adulterate	adulterated,adulterates,adulterating	adulterately				adulterating	adulterated	adulterates
adulterator					adulterators			
adulterer	adulterers				adulterers			
adulteress					adulteresses			
adulterous		adulterously						
adultery					adulteries			
adumbrate	adumbrated,adumbrates,adumbrating					adumbrating	adumbrated	adumbrates
adumbration					adumbrations			
adumbrative		adumbratively						
advance	advanced,advances,advancing		advancer		advances	advancing	advanced	advances
advancement	advancements				advancements			
advancer					advancers			
advancing		advancingly						
advantage	advantages				advantages	advantaging	advantaged	advantages
advantageous		advantageously						
advect						advecting	advected	advects
advent	advents				advents			
adventist					adventists			
adventitious		adventitiously						
adventive		adventively						
adventure	adventures				adventures	adventuring	adventured	adventures
adventurer	adventurers				adventurers			
adventuresome		adventuresomely						
adventuress					adventuresses			
adventurous		adventurously						
adverb	adverbs				adverbs			
adverbial	adverbials	adverbially		adverbiality				
adversary	adversaries				adversaries			
adversative		adversatively						
adverse		adversely		adversity				
adversity					adversities			
advert	adverts				adverts	adverting	adverted	adverts
advertent		advertently		advertence				
advertise	advertised,advertises,advertising					advertising	advertised	advertises
advertisement	advertisements				advertisements			
advertiser	advertisers				advertisers			
advertize						advertizing	advertized	advertizes
advertorial	advertorials							
advice					advices			
advisable		advisably						
advise	advised,advises,advising					advising	advised	advises
advised		advisedly						
advisee					advisees			
advisement					advisements			
adviser	advisers,advisor				advisers			
advisor					advisors			
advisory	advisories	advisorily			advisories			
advocacy					advocacies			
advocate	advocated,advocates,advocating				advocates	advocating	advocated	advocates
advowson					advowsons			
adynamia					adynamias			
adytum	adyta				adyta			
adz								
adze								
aecidium	aecidia				aecidia			
aecium	aecia				aecia			
aegis					aegises			
aeon					aeons			
aerate	aerated,aerates,aerating					aerating	aerated	aerates
aeration					aerations			
aerator					aerators			
aerial	aerials	aerially		aeriality	aerials			
aerialist					aerialists			
aerie								
aerify						aerifying	aerified	aerifies
aerobacter					aerobacters			
aerobe					aerobes			
aerobic		aerobically						
aerobiotic		aerobiotically						
aerobium	aerobia				aerobia			
aerodrome	aerodromes				aerodromes			
aerodynamic		aerodynamically						
aerofoil	aerofoils				aerofoils			
aerogram	aerograms				aerograms			
aerolite					aerolites			
aerology					aerologies			
aeronaut					aeronauts			
aeronautic								
aeronautical								
aeroplane	aeroplanes				aeroplanes			
aerosol	aerosols				aerosols			
aerosolize						aerosolizing	aerosolized	
aery		aerily	aerier,aeriest	aeriness				
aesthete	aesthetes				aesthetes			
aesthetic	aesthetics							
aesthetical								
aestivate						aestivating	aestivated	aestivates
aether					aethers			
aetiologic								
aetiological								
aetiology					aetiologies			
affable		affably						
affair	affairs							
affaire					affaires			
affect	affected,affecting,affects				affects	affecting	affected	affects
affectation	affectations				affectations			
affected		affectedly						
affecting		affectingly						
affection					affections			
affectional		affectionally						
affectionate		affectionately						
affective		affectively		affectivity				
afferent		afferently						
affiance						affiancing	affianced	affiances
affiant					affiants			
affidavit	affidavits				affidavits			
affiliate	affiliated,affiliates,affiliating				affiliates	affiliating	affiliated	affiliates
affiliation	affiliations				affiliations			
affine		affinely		affinity	affines			
affinity	affinities				affinities			
affirm	affirmed,affirming,affirms					affirming	affirmed	affirms
affirmable		affirmably						
affirmation	affirmations				affirmations			
affirmative	affirmatives	affirmatively			affirmatives			
affirmer					affirmers			
affix	affixed,affixes,affixing				affixes	affixing	affixed	
afflatus					afflatuses			
afflict	afflicted,afflicting,afflicts					afflicting	afflicted	afflicts
affliction	afflictions				afflictions			
afflictive		afflictively						
affluent		affluently		affluence	affluents			
afford	afforded,affording,affords					affording	afforded	affords
afforest						afforesting	afforested	afforests
affranchise						affranchising	affranchised	
affray	affrays				affrays			
affricate	affricates				affricates			
affright					affrights	affrighting	affrighted	affrights
affront	affronted,affronting,affronts				affronts	affronting	affronted	affronts
affusion					affusions			
afghan	afghans				afghans			
afghani					afghanis			
afghanistani	afghanistanis							
aficionado	aficionados				aficionados			
african	africans				africans			
afrikaner	afrikaners							
afro	afros				afros			
aft								
after								
afterbirth					afterbirths			
afterburner					afterburners			
afterdeck					afterdecks			
aftereffect	aftereffects				aftereffects			
afterglow	afterglows				afterglows			
afterimage					afterimages			
afterlife					afterlives			
aftermath					aftermaths			
afternoon	afternoons				afternoons			
aftershave	aftershaves							
aftershock	aftershocks				aftershocks			
aftertaste	aftertastes				aftertastes			
afterthought	afterthoughts				afterthoughts			
afterword	afterwords							
aga					agas			
agama					agamas			
agamete					agametes			
agamic		agamically						
agamogenetic		agamogenetically						
agapanthus					agapanthuses			
agape	agapae							
agar					agars			
agaric					agarics			
agate	agates				agates			
agave	agaves				agaves			
age	aged,ages,aging				ages	ageing,aging	aged	ages
aged		agedly						
agedness					agednesses			
ageing					ageings			
ageism					ageisms			
ageist	ageists							
ageless		agelessly						
agency	agencies				agencies			
agenda	agendas				agendas			
agendum					agendums			
agene					agenes			
agenesia					agenesias			
agenesis					ageneses			
agenize						agenizing	agenized	agenizes
agent	agents				agents			
ageratum					ageratums			
aggiornamento					aggiornamenti			
agglomerate					agglomerates	agglomerating	agglomerated	agglomerates
agglomeration	agglomerations				agglomerations			
agglutinate						agglutinating	agglutinated	agglutinates
agglutination					agglutinations			
agglutinative		agglutinatively						
agglutinin					agglutinins			
aggrade						aggrading	aggraded	aggrades
aggrandise						aggrandising	aggrandised	
aggrandize						aggrandizing	aggrandized	aggrandizes
aggrandizement					aggrandizements			
aggravate	aggravated,aggravates,aggravating					aggravating	aggravated	aggravates
aggravating		aggravatingly						
aggravation	aggravations				aggravations			
aggregate	aggregated,aggregates,aggregating	aggregately			aggregates	aggregating	aggregated	aggregates
aggregation	aggregations				aggregations			
aggregative		aggregatively						
aggregator	aggregators							
aggress						aggressing	aggressed	aggresses
aggression					aggressions			
aggressive		aggressively		aggressivity				
aggressor	aggressors				aggressors			
aggrieve						aggrieving	aggrieved	aggrieves
aggro					aggros			
agha					aghas			
agile				agility				
agility					agilities			
aging					agings			
agio	agios				agios			
agiotage					agiotages			
agism					agisms			
agitate	agitated,agitates,agitating					agitating	agitated	agitates
agitated		agitatedly						
agitation					agitations			
agitator	agitators				agitators			
agitprop					agitprops			
aglet					aglets			
agm	agms							
agnail					agnails			
agnate					agnates			
agnatic		agnatically						
agnation					agnations			
agnize						agnizing	agnized	agnizes
agnomen	agnomens,agnomina				agnomina			
agnosia					agnosias			
agnostic	agnostics				agnostics			
agnostical								
agon	agones,agons				agones			
agonise						agonising	agonised	agonises
agonising		agonisingly						
agonist					agonists			
agonistic								
agonistical								
agonize	agonized,agonizes,agonizing					agonizing	agonized	agonizes
agonized		agonizedly						
agonizing		agonizingly						
agony	agonies				agonies			
agora	agorae,agoras,agorot				agorae			
agoraphobe	agoraphobes							
agoraphobic	agoraphobics							
agouti								
agouty								
agp	agps							
agraphia					agraphias			
agrarian		agrarianly						
agree	agreed,agreeing,agrees					agreeing,agreing	agreed	agrees
agreeable		agreeably						
agreement	agreements				agreements			
agribusiness	agribusinesses				agribusinesses			
agricultural		agriculturally						
agriculturalist					agriculturalists			
agriculture					agricultures			
agriculturist					agriculturists			
agrimony					agrimonies			
agrobiologic								
agrobiological								
agrochemical	agrochemicals							
agrologic								
agrological								
agrology					agrologies			
agronomic								
agronomical								
agronomist	agronomists				agronomists			
agronomy					agronomies			
agrypnia					agrypnias			
ague	agues				agues			
agueweed					agueweeds			
aguish		aguishly						
ahem					ahems			
ahimsa					ahimsas			
ai					ais			
aid	aided,aiding,aids					aiding	aided	aids
aide	aides							
aidman	aidmen							
aiglet					aiglets			
aigret					aigrets			
aigrette					aigrettes			
aikido					aikidos			
ail	ailed,ailing,ails				ails	ailing	ailed	ails
ailanthus	ailanthuses				ailanthuses			
aileron	ailerons				ailerons			
ailment	ailments				ailments			
aim	aimed,aiming,aims				aims	aiming	aimed	aims
aimless		aimlessly						
aioli	aiolis				aiolis			
air	aired,airing,airs					airing	aired	airs
airbrush	airbrushed,airbrushes,airbrushing				airbrushes	airbrushing	airbrushed	airbrushes
airburst					airbursts			
airbus	airbuses				airbuses,airbusses			
aircraft					aircrafts			
aircrew	aircrews				aircrews			
airdrome					airdromes			
airdrop	airdrops				airdrops			
airedale					airedales			
airfare	airfares				airfares			
airfield	airfields				airfields			
airflow					airflows			
airfoil	airfoils				airfoils			
airframe					airframes			
airhead	airheads				airheads			
airiness					airinesses			
airing	airings				airings			
airless		airlessly						
airlift	airlifted,airlifting,airlifts				airlifts	airlifting	airlifted	airlifts
airline	airlines				airlines			
airliner	airliners				airliners			
airlink	airlinks							
airlock	airlocks				airlocks			
airmail					airmails	airmailing	airmailed	airmails
airman	airmen							
airplane	airplanes				airplanes			
airport	airports				airports			
airpost					airposts			
airscrew					airscrews			
airship	airships				airships			
airspace					airspaces			
airspeed	airspeeds				airspeeds			
airstream	airstreams							
airstrip	airstrips				airstrips			
airt						airting	airted	airts
airtight		airtightly						
airwave					airwaves			
airway	airways				airways			
airwoman	airwomen							
airworthy			airworthier,airworthiest	airworthiness				
airy		airily	airier,airiest	airiness				
aisle	aisles				aisles			
aitch	aitches							
ajuga					ajugas			
akee					akees			
akron					akra			
akvavit					akvavits			
ala	alae				alae			
alabamian					alabamians			
alacrity					alacrities			
alamo	alamos				alamos			
alanine					alanines			
alarm	alarmed,alarming,alarms				alarms	alarming	alarmed	alarms
alarmed		alarmedly						
alarming		alarmingly						
alarmism					alarmisms			
alarmist	alarmists				alarmists			
alarum					alarums			
alaska					alaskas			
alaskan					alaskans			
alb					albs			
albacore	albacores				albacores			
albanian					albanians			
albatross	albatrosses				albatrosses			
albedo					albedos			
albescent				albescence				
albinism					albinisms			
albino	albinos				albinos			
albite					albites			
albizia					albizias			
albizzia					albizzias			
album	albums				albums			
albumen					albumens			
albumin					albumins			
alcahest					alcahests			
alcaic					alcaics			
alcalde					alcaldes			
alcazar					alcazars			
alchemic								
alchemical								
alchemise						alchemising	alchemised	
alchemist	alchemists				alchemists			
alchemize						alchemizing	alchemized	
alchemy					alchemies			
alcohol	alcohols				alcohols			
alcoholic	alcoholics	alcoholically		alcoholicity	alcoholics			
alcoholise						alcoholising	alcoholised	
alcoholize						alcoholizing	alcoholized	
alcove	alcoves				alcoves			
alcyone					alcyones			
aldehyde					aldehydes			
alder	alders				alders			
alderfly					alderflies			
alderman	aldermen							
alderwoman	alderwomen							
aldol					aldols			
aldose					aldoses			
ale	ales				ales			
alehouse	alehouses				alehouses			
alembic					alembics			
aleph					alephs			
alert	alerted,alerting,alerts	alertly	alerter,alertest		alerts	alerting	alerted	alerts
aleurone					aleurones			
alewife					alewives			
alexandrine					alexandrines			
